"map"
"Číslo pacienta" "subject_id"
"Investigátor" "investigator"
"Pohlaví (1 - muž, 0 - žena)" "sex"
"Datum narození" "birth_date"
"Věk (v celých rocích)" "age"
"Žije 11.12.2021? Ano/Ne" "alive_2021_12_11"
"Datum kontroly" "examination_date"
"Váha" "weight"
"Výška" "height"
"BMI" "BMI"
"EKG frekvence" "ekg_freq"
"Pulz" "pulse"
"Systolický tlak" "systolic_BP"
"Diastolický tlak" "diastolic_BP"
"Funkční třída (NYHA)" "NYHA"
"Ejekční frakce levé komory (%)" "EF"
"První EFLK v selhání" "date_first_ambulance"
"Původní EFLK (%)" "EF_first_ambulance"
"Počet léků" "number_of_pills"
"Diabetik?" "diabetes"
"Diagnóza" "diagnosis"
"Na" "lab_Na"
"K" "lab_K"
"Cl" "lab_Cl"
"U"  "lab_U"
"Kr" "lab_Kr"
"Glykémie" "lab_glycaemia"
"NT-proBNP" "lab_NT_proBNP"
"GFR" "lab_GFR"
"Doba od podání léků" "time_since_dose"
# "Ivabradin (0/1)" "has.ivabradin"
# "dávka" "dose.ivabradin"
"Má ACE?" "has.ACEi"
"Jaký ACE?" "which.ACEi"
"Dávka...37" "dose.ACEi"
"Ramipril hladina" "level.ACEi.ramipril"
"Ramiprilát haldina" "level.ACEi.ramiprilate"
"Perindopril hladina" "level.ACEi.perinidopril"
"Perindoprilát hladina" "level.ACEi.perinidoprilate"
"Adherentní k ACE? (1 - ano, 2 - ne, 0 - nemá ACE, 3 - neměřitelný ACE)" "adherent.ACEi"
"Má sartan?" "has.sartan"
"Jaký sartan?" "which.sartan"
"Dávka...45" "dose.sartan"
"Telmisartan hladina" "level.sartan.telmisartan"
"Adherentní k sartanu? (0 - nemá, 1 - ano, 2 - ne, 3 - neměřitelný sartan)" "adherent.sartan"
"Furosemid?" "has.furosemide"
"Dávka...21" "dose.furosemide"
"Má MRA? (1 - ano, 0 - ne)" "has.MRA"
"Jaký MRA?" "which.MRA"
"Dávka...50" "dose.MRA"
"Spironolakton hladina" "level.MRA.spironolakton"
"Adherentní k MRA? (0 - nemá, 1 - ano, 2 - ne, 3 - neměřitelný MRA)" "adherent.MRA"
"Má BB?" "has.BB"
"Jaký BB?" "which.BB"
"Dávka...55" "dose.BB"
"Metoprolol hladina" "level.BB.metoprolol"
"Bisoprolol hladina" "level.BB.bisoprolol"
"Carvedilol hladina" "level.BB.carvedilol"
"Nebivolol hladina" "level.BB.nebivolol"
"Adherentní k BB?" "adherent.BB"
"NYHA v minulosti" "NYHA_spiro_subj"
"NYHA dle spiroergometrie v minulosti" "NYHA_spiro_obj"
"VO2max" "VO2_max"
"Datum spiroergometrie" "spiro_date"

